,EntryNo_,ItemLedgerEntryNo_,Inbound,Outbound,Quantity,TrfFrom,ILEInbound,OutboundTrf,PostingDate,Link_In,Link_Out
1669,4872966,4860739,4829431,4860739,-1.00000000000000000000,0,4860739|4829431,4860739|0,2021-06-03,NA,4829431
1670,4873780,4861551,4861122,4861551,-1.00000000000000000000,0,4861551|4861122,4861551|0,2021-06-03,NA,4861122
1671,4873939,4861710,4861710,4861709,1.00000000000000000000,4861702,4861710|4861710,4861709|4861702,2021-06-03,4861709|4861702,-1
1672,4874130,4861901,4861743,4861901,-1.00000000000000000000,0,4861901|4861743,4861901|0,2021-06-03,NA,4861743
1673,4874709,4862480,4862480,4862479,1.00000000000000000000,4861719,4862480|4862480,4862479|4861719,2021-06-03,4862479|4861719,-1
1674,4875153,4862924,4862924,4862923,1.00000000000000000000,4862902,4862924|4862924,4862923|4862902,2021-06-04,4862923|4862902,-1
1675,4875662,4863433,4863333,4863433,-1.00000000000000000000,0,4863433|4863333,4863433|0,2021-06-04,NA,4863333
1676,4876352,4864123,4666137,4864123,-1.00000000000000000000,0,4864123|4666137,4864123|0,2021-06-04,NA,4666137
1677,4876395,4864166,4864166,4864165,1.00000000000000000000,4821268,4864166|4864166,4864165|4821268,2021-06-04,4864165|4821268,-1
1678,4876447,4864218,4864218,4864217,1.00000000000000000000,4864136,4864218|4864218,4864217|4864136,2021-06-04,4864217|4864136,-1
1679,4876604,4864375,4864368,4864375,-1.00000000000000000000,0,4864375|4864368,4864375|0,2021-06-04,NA,4864368
1680,4876697,4864468,4864468,4864467,15.00000000000000000000,4783001,4864468|4864468,4864467|4783001,2021-06-04,4864467|4783001,-1
1681,4876938,4864709,4864709,4864708,1.00000000000000000000,4858031,4864709|4864709,4864708|4858031,2021-06-04,4864708|4858031,-1
1682,4877302,4865071,4865071,4865070,1.00000000000000000000,4865067,4865071|4865071,4865070|4865067,2021-06-04,4865070|4865067,-1
1683,4877313,4865082,4865082,4865081,1.00000000000000000000,4787792,4865082|4865082,4865081|4787792,2021-06-04,4865081|4787792,-1
